book_index,book_name,chapter,testament,chapter_verse_count
1,Genesis,1,Old,31
1,Genesis,2,Old,25
1,Genesis,3,Old,24
1,Genesis,4,Old,26
1,Genesis,5,Old,32
1,Genesis,6,Old,22
1,Genesis,7,Old,24
1,Genesis,8,Old,22
1,Genesis,9,Old,29
1,Genesis,10,Old,32
1,Genesis,11,Old,32
1,Genesis,12,Old,20
1,Genesis,13,Old,18
1,Genesis,14,Old,24
1,Genesis,15,Old,21
1,Genesis,16,Old,16
1,Genesis,17,Old,27
1,Genesis,18,Old,33
1,Genesis,19,Old,38
1,Genesis,20,Old,18
1,Genesis,21,Old,34
1,Genesis,22,Old,24
1,Genesis,23,Old,20
1,Genesis,24,Old,67
1,Genesis,25,Old,34
1,Genesis,26,Old,35
1,Genesis,27,Old,46
1,Genesis,28,Old,22
1,Genesis,29,Old,35
1,Genesis,30,Old,43
1,Genesis,31,Old,55
1,Genesis,32,Old,32
1,Genesis,33,Old,20
1,Genesis,34,Old,31
1,Genesis,35,Old,29
1,Genesis,36,Old,43
1,Genesis,37,Old,36
1,Genesis,38,Old,30
1,Genesis,39,Old,23
1,Genesis,40,Old,23
1,Genesis,41,Old,57
1,Genesis,42,Old,38
1,Genesis,43,Old,34
1,Genesis,44,Old,34
1,Genesis,45,Old,28
1,Genesis,46,Old,34
1,Genesis,47,Old,31
1,Genesis,48,Old,22
1,Genesis,49,Old,33
1,Genesis,50,Old,26
2,Exodus,1,Old,22
2,Exodus,2,Old,25
2,Exodus,3,Old,22
2,Exodus,4,Old,31
2,Exodus,5,Old,23
2,Exodus,6,Old,30
2,Exodus,7,Old,25
2,Exodus,8,Old,32
2,Exodus,9,Old,35
2,Exodus,10,Old,29
2,Exodus,11,Old,10
2,Exodus,12,Old,51
2,Exodus,13,Old,22
2,Exodus,14,Old,31
2,Exodus,15,Old,27
2,Exodus,16,Old,36
2,Exodus,17,Old,16
2,Exodus,18,Old,27
2,Exodus,19,Old,25
2,Exodus,20,Old,26
2,Exodus,21,Old,36
2,Exodus,22,Old,31
2,Exodus,23,Old,33
2,Exodus,24,Old,18
2,Exodus,25,Old,40
2,Exodus,26,Old,37
2,Exodus,27,Old,21
2,Exodus,28,Old,43
2,Exodus,29,Old,46
2,Exodus,30,Old,38
2,Exodus,31,Old,18
2,Exodus,32,Old,35
2,Exodus,33,Old,23
2,Exodus,34,Old,35
2,Exodus,35,Old,35
2,Exodus,36,Old,38
2,Exodus,37,Old,29
2,Exodus,38,Old,31
2,Exodus,39,Old,43
2,Exodus,40,Old,38
3,Leviticus,1,Old,17
3,Leviticus,2,Old,16
3,Leviticus,3,Old,17
3,Leviticus,4,Old,35
3,Leviticus,5,Old,19
3,Leviticus,6,Old,30
3,Leviticus,7,Old,38
3,Leviticus,8,Old,36
3,Leviticus,9,Old,24
3,Leviticus,10,Old,20
3,Leviticus,11,Old,47
3,Leviticus,12,Old,8
3,Leviticus,13,Old,59
3,Leviticus,14,Old,57
3,Leviticus,15,Old,33
3,Leviticus,16,Old,34
3,Leviticus,17,Old,16
3,Leviticus,18,Old,30
3,Leviticus,19,Old,37
3,Leviticus,20,Old,27
3,Leviticus,21,Old,24
3,Leviticus,22,Old,33
3,Leviticus,23,Old,44
3,Leviticus,24,Old,23
3,Leviticus,25,Old,55
3,Leviticus,26,Old,46
3,Leviticus,27,Old,34
4,Numbers,1,Old,54
4,Numbers,2,Old,34
4,Numbers,3,Old,51
4,Numbers,4,Old,49
4,Numbers,5,Old,31
4,Numbers,6,Old,27
4,Numbers,7,Old,89
4,Numbers,8,Old,26
4,Numbers,9,Old,23
4,Numbers,10,Old,36
4,Numbers,11,Old,35
4,Numbers,12,Old,16
4,Numbers,13,Old,33
4,Numbers,14,Old,45
4,Numbers,15,Old,41
4,Numbers,16,Old,50
4,Numbers,17,Old,13
4,Numbers,18,Old,32
4,Numbers,19,Old,22
4,Numbers,20,Old,29
4,Numbers,21,Old,35
